basis_idx,real_I,imag_I,abs_I
1,0.007086238001978689,0.0017329844262785332,0.007295067103352159
2,0.006923366478262928,-0.001854574721347689,0.007167457763349336
3,-0.0003310198056076275,0.0011154168434739406,0.0011634985373475469
4,-0.0006300731922528952,9.688105876874551e-5,0.0006374779738500044
5,-0.0028720149494892684,0.0011241515980707452,0.003084183309327585
6,0.0002053496309949637,-0.00018289277324249085,0.00027498770418710894
7,0.006176453512485322,-0.003750498451746013,0.007225982052872918
8,0.006176453512485323,-0.0037504984517460088,0.007225982052872918
9,-0.0003310198056076247,0.0011154168434739323,0.0011634985373475382
10,-0.0028720149494892615,0.001124151598070744,0.003084183309327578
11,0.00020534963099496536,-0.00018289277324249638,0.00027498770418711387
12,-0.005227701589217048,0.003156299528599421,0.006106643154806033
13,-0.002607742450858188,-0.00195424750934,0.0032587427050581124
14,-0.002132978785282783,-0.0015160293502974025,0.0026168575600191884
15,-0.006081917666951782,-6.182409193850806e-5,0.006082231886891869
16,-0.002132978785282782,-0.001516029350297411,0.0026168575600191927
17,-0.005227701589217055,0.0031562995285994294,0.006106643154806043
18,-0.00260774245085819,-0.0019542475093399974,0.003258742705058112
19,0.006923366478262923,-0.0018545747213476928,0.007167457763349333
20,0.0070862380019786906,0.0017329844262785428,0.0072950671033521625
21,-0.0006300731922528941,9.688105876873705e-5,0.0006374779738500022
