param_idx,adjoint,fd_central,rel_error
1,-1.4418280679567395e-7,-1.4418281022235413e-7,2.3766219115802506e-8
2,-4.578528342582376e-8,-4.578528582741686e-8,5.2453384974149256e-8
3,-1.7385699452186404e-7,-1.7385699000241337e-7,2.5995219142886877e-8
4,-1.3958474988666136e-7,-1.3958474946642457e-7,3.0106210661722057e-9
5,-3.4467137921487515e-8,-3.446713129750395e-8,1.9218258213756645e-7
6,-1.7437509282292855e-7,-1.7437508956306272e-7,1.86945611054256e-8
7,-1.1427751724521131e-7,-1.1427752190720784e-7,4.0795395708111007e-8
8,-2.305903253737212e-8,-2.305902593435077e-8,2.8635292213898374e-7
9,-1.2646803886807899e-7,-1.2646803634712434e-7,1.9933531616643408e-8
10,-1.2646803886807899e-7,-1.2646803092611347e-7,6.279820249275522e-8
